feature,star neighbors
0,44942 58864 79753 84829
1,43069 67095 73433 97482
2,43070 67094 73458 97481
3,43071 67093 73459 97480
4,43097 67092 73460 97479
5,43096 67091 73461 97478
6,43095 67090 73487 97477
7,43094 67089 73486 97476
8,43093 67088 73485 97475
9,43092 67087 73484 97474
10,43091 67086 73483 97473
11,43090 67085 73482 97472
12,43089 67084 73481 97471
13,43088 67083 73480 97483
14,43087 67082 73479 97499
15,43086 67129 73478 97513
16,40468 43098 64663 67154 70859 73477 97500 99658
17,43085 67155 73476 97526
18,40496 43083 64527 67156 70887 73488 97525 99924
19,22268 43082 67227 73475 97524 128568 135595
20,43081 67226 73473 97523
21,43080 67225 73472 97522
22,43079 67224 73471 97521
23,43078 67223 73470 97520
24,43077 67222 73469 97519
25,43076 67221 73468 97518
26,43068 67096 73434 97484
27,43043 67097 73435 97497
28,43044 67098 73436 97485
29,43045 67099 73437 97486
30,43101 67076 73522 87361
31,43143 53879 56295 67075 73521 84269 87360 90804
32,43100 67074 73491 87359
33,33804 43084 67073 73533 87358
34,43067 67072 73490 87357
35,43066 67071 73474 87356
36,43065 67070 73457 87355
37,43064 67069 73456 87354
38,43063 67078 73455 87353
39,43062 67068 73454 87352
40,43061 67066 73453 87351
41,43060 67065 73452 87350
42,43075 67220 73467 97517
43,43059 67064 73451 91474
44,43057 67062 73449 92425
45,43056 67061 73448 92426
46,43055 67060 73447 97496
47,43054 67059 73446 97495 112972
48,43053 67058 73445 97494
49,40004 43052 66373 67067 70397 73444 93437 97493
50,43051 67079 73443 97492
51,43050 67080 73442 97491
52,43049 67081 73441 97490
53,43048 67102 73440 97489
54,43047 67101 73439 97488
55,43046 67100 73438 97487
56,43058 67063 73450 92424
57,43131 67077 73523 87363
58,43074 67219 73466 97516
59,43072 67217 73464 97527
60,38035 43232 67236 73611 97423
61,43248 67235 73610 97422
62,43262 67234 73622 97421
63,43249 67233 73638 97420
64,43275 67232 73652 97419
65,43274 67206 73639 97418
66,35327 43273 67229 73665 97417
67,43272 67205 73664 97416
68,43271 67179 73663 97415
69,43270 67177 73662 97414
70,43269 67176 73661 97413
71,43268 67175 73660 97412
72,43267 67174 73659 97437
73,43266 67173 73658 97438
74,43265 67172 73657 97439
75,43264 67171 73656 97440
76,43276 67170 73655 97466
77,26155 43263 67169 73654 97465 108596 122164 138692 150595
78,43261 67168 73666 97464
79,43260 67167 73653 97463
80,22931 43259 67166 73651 97462 100056 127112 134174 147202
81,43258 67165 73650 97461
82,43257 67164 73649 97460
83,43256 67163 73648 97459
84,43255 67162 73647 97458
85,43220 67237 73612 97424
86,23938 43221 67238 73613 97425 103622 118132 133718 148018
87,43222 67239 73614 97426
88,43223 67240 73615 97427
89,21223 43099 67216 73463 97514 112074 115304 142167 150925
90,43158 67215 73462 97512
91,31191 43159 67214 73489 97511
92,30274 43160 67213 73548 97510
93,43245 67212 73549 97509
94,43244 67211 73550 97508
95,43243 67210 73635 97507
96,35230 43242 67209 73634 97506
97,43241 67208 73633 97505
98,43240 67207 73632 97504 137867
99,43239 67228 73631 97503
100,43238 67230 73630 97502
101,43073 67218 73465 97515
102,43237 67253 73629 97501
103,43235 67252 73627 97469
104,43234 67251 73626 97468
105,43246 67250 73625 97453
106,43233 67249 73624 97436
107,43231 67248 73636 97435
108,43230 67247 73623 97434
109,43229 67246 73621 97433
110,25657 43228 67245 73620 97432 113297 122643 143391 149659
111,43227 67244 73619 97431
112,43226 67243 73618 97430
113,43225 67242 73617 97429
114,43224 67241 73616 97428
115,43236 67231 73628 97470
116,43132 67103 73524 87376
117,43133 67104 73525 87364
118,43134 67105 73526 87365
119,43423 66571 73789 87391
120,35457 43424 66570 73788 87390
121,43425 66569 73813 87389
122,43426 66568 73814 87388
123,43452 66567 73815 87387
124,43451 66566 73816 87386
125,43450 66565 73842 87385
126,43449 66564 73841 87384
127,43448 66563 73840 87383
128,43447 66572 73839 87382
