featureType,xCoordinate,yCoordinate
1, 1483.7, 9354.1
1,  203.1, 9952.7
1, 6570.8, 6026.4
1, 4565.2, 6041.4
1, 1980.8, 5163.8
1, 4890.1, 9699.7
1,  767.3,  565.1
1,  461.6, 9904.7
1, 9530.3, 9228.0
1, 3739.6, 8489.7
1, 8618.8, 9811.4
1, 1526.6, 6626.4
1, 2991.2, 8745.4
1, 1327.5, 7208.0
1, 4603.6, 8019.1
1, 4725.4, 1453.6
1, 2816.1, 5593.5
1, 6969.1, 9187.0
1, 5297.3, 3858.8
1, 5054.9, 5207.2
1, 2165.8,  246.7
1, 9473.6, 7145.4
1, 7725.9, 9869.4
1, 9979.7,  804.1
1, 4420.0, 3261.7
1, 4302.9, 1222.5
1, 5403.8, 9104.1
1, 7142.1, 5586.7
1, 8094.1, 6480.3
1, 3169.9, 6545.3
1, 4898.4, 9696.9
1, 6973.6, 4154.5
1, 6306.4, 3753.3
1, 3452.8, 2996.8
1, 4030.8, 3086.8
1, 6256.1, 6766.9
1, 4519.4, 2173.1
1, 1327.9, 1233.3
1, 8019.6, 7773.1
1, 1036.3, 1863.3
1, 8722.4, 4444.0
1, 3996.1, 9919.8
1, 7217.7,  503.1
1, 1982.0, 1649.9
1,  402.9, 4592.0
1, 8635.9, 1216.7
1,  521.0, 5254.4
1, 3726.1, 8170.1
1, 3267.2, 3253.2
1, 8941.8,  229.8
1, 3870.3, 2433.5
1, 1265.9, 4237.3
1, 8952.1, 6766.2
1, 8801.1, 4979.9
1, 9239.7, 2079.6
1,  764.5, 9953.9
1, 8315.8, 3302.8
1, 3815.9, 6217.5
1, 8113.7, 6375.2
1, 3299.9, 7869.3
1, 7721.9, 9874.8
1, 3359.0, 6100.5
1, 6360.3, 2346.5
1, 9534.5, 9225.0
1, 5197.3, 5978.2
1, 1613.4, 8869.9
1, 7972.3, 3381.6
1, 2802.6, 3903.5
1, 4307.5, 5177.4
1, 4128.8, 3169.8
1, 5987.0, 1179.5
1, 7967.0, 4832.2
1, 8802.4, 4983.4
1, 9739.4,  997.8
1, 5068.3, 6970.7
1, 2252.5,  592.0
1, 3454.0, 2997.7
1, 2779.9, 7094.0
1, 2489.2, 6928.2
1, 6514.8, 4320.0
1, 9983.3, 1418.6
1, 6918.7, 6795.9
1, 9623.0, 9838.3
1, 2249.2,  597.7
1, 1952.4, 9019.3
1, 9006.3, 4987.7
1, 3990.6, 8268.2
1, 7144.9, 5579.0
1, 8378.8, 9302.1
1, 1870.3, 1863.5
1, 9144.6, 6869.9
1, 1574.5, 7651.7
1, 3723.9, 8160.8
1, 6208.4, 5639.0
1, 9156.6, 2094.5
1, 1630.7, 4086.7
1, 7018.1, 7055.5
1, 4400.5, 2335.0
1, 2274.2, 7920.6
1, 1643.8, 9181.9
1, 2143.2, 7195.1
1, 4002.2, 8332.4
1, 6315.3, 9304.5
1, 5014.1, 9100.2
1, 2820.5, 5595.6
1, 7412.0, 4254.6
1, 3382.9, 6016.8
1, 6075.1, 4092.3
1, 1532.3, 7749.8
1,  472.3, 1638.5
1, 3185.7, 1880.4
1, 1396.1,  672.8
1, 5778.4, 4906.4
1, 9139.0, 9313.1
1, 8819.6,  725.7
1, 2010.6,   99.1
1, 8114.4, 6379.9
1, 4307.1, 5175.9
1, 3464.2, 4452.0
1, 6766.4, 6394.9
1, 6484.7, 5966.0
1, 8817.0, 3790.9
1, 6819.1,  626.7
1, 2307.1, 2322.2
1, 5780.6, 8853.8
1, 1395.6,  672.7
1, 6035.5,  532.3
1, 2265.6, 5400.9
