feature,star neighbors
2705,
2706,2875 2876 2877 2878 2879 2880 2881
2707,2875 2876 2877 2878 2879 2880 2881
2708,2875 2876 2877 2878 2879 2880 2881
2709,2875 2876 2877 2878 2879 2880 2881
2710,2875 2876 2877 2878 2879 2880 2881
2711,2886 2888 2889 2893 2894 2895 2896 3048 3049 3166
2712,2886 2888 2889 2893 2894 2896 3030 3048 3049 3166
2713,2886 2888 2889 2893 2894 2896 3030 3048 3049 3166
2714,2886 2888 2889 2893 2894 2896 3030 3048 3049 3166
2715,2886 2888 2889 2893 2894 2896 3030 3048 3049 3166
2716,2886 2888 2889 2893 2894 2896 3048 3049 3166
2717,2888 2889 2890 2893 2895 2896 3166
2718,2886 2888 2889 2893 2894 2895 2896 3048 3049 3166
2719,2886 2888 2889 2893 2894 2895 2896 3048 3049 3166
2720,2884 2885 2890 2891 2892 2895 3165
2721,2884 2885 2890 2891 2892 2895 3165
2722,2884 2890 2891 2895
2723,2886 2888 2889 2893 2896 3030 3048 3166
2724,2884 2890 2895
2725,2884 2890 2895
2726,2888 2889 2890 2893 2896 3166
2727,2889 2896 3028 3030
2728,2886 3029 3030 3031
2729,2886 2888 2889 2893 2894 2896 3030 3048 3049 3166
2730,2886 2888 2889 2890 2893 2894 2895 2896 3048 3049 3166
2731,2886 2888 2889 2890 2893 2894 2895 2896 3048 3049 3166
2732,2886 2888 2889 2890 2893 2894 2895 2896 3048 3049 3166
2733,2886 2888 2889 2893 2896 3030 3166
2734,2886 2888 2889 2893 2896 3030 3166
2735,2886 2888 2893 2894 2895 3048 3049 3166
2736,2886 2888 2893 2894 3048 3049 3166
2737,2886 2888 2893 2894 3048 3049 3166
2738,2886 2888 2893 2894 3048 3049 3166
2739,2886 2888 2893 2894 3048 3049 3166
2740,2886 2888 2893 2894 3048 3049 3166
2741,2886 2888 2893 2894 3048 3049 3166
2742,2886 2888 2893 2894 3048 3049 3166
2743,2886 2888 2893 2894 3048 3049 3166
2744,2886 2888 2893 2894 3048 3049 3166
2745,2886 2888 2893 2894 3048 3049 3166
2746,2886 2888 2893 2894 3048 3049 3166
2747,2888 2890 2891 2893 2895 3166
2748,2888 2890 2891 2893 2895 3166
2749,2897 2901 2902 2903 2904
2750,2897 2901 2902 2903 2904
2751,2897 2901 2902 2903 2904
2752,2897 2901 2902 2903 2904
2753,2897 2901 2902 2903 2904
2754,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2978 2979 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3147 3148 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2755,
2756,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2757,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2758,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2759,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2760,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2761,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2762,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2763,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2764,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2765,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2766,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2767,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2768,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2769,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2770,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2771,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
2772,2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2918 2919 2920 2921 2922 2923 2924 2925 2926 2979 2980 2982 3026 3050 3051 3052 3053 3054 3055 3056 3057 3058 3059 3060 3061 3062 3063 3064 3065 3066 3067 3068 3069 3070 3071 3072 3073 3074 3075 3076 3077 3078 3079 3080 3081 3082 3083 3084 3085 3086 3087 3088 3089 3090 3091 3124 3125 3126 3127 3128 3129 3130 3131 3132 3133 3134 3139 3154 3155 3156 3170 3171 3172 3173 3174 3175 3176
